flag (1),Image0.jpg,"68435,0:0,863:0,825:0,4352:4177,6672:0,4653:0,23:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:62694,0:0,1956:5254,4204:3091,3413:3467,3406:0,2515:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1731:9265,2773:5159,2490:0,9572:29760,905:27149,1186:0,10:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:"
flag (1),Image1.jpg,"67472,0:0,971:0,216:0,271:0,387:0,232:0,204:0,320:0,268:0,1678:4741,2414:0,3696:0,2629:0,2128:0,2373:61741,0:0,508:0,550:0,498:0,570:0,3428:0,4458:0,2204:0,1878:0,2665:0,3485:0,3019:0,2155:0,1405:0,1436:0,0:0,41:0,4325:0,4553:0,3597:0,3533:0,2860:0,2741:0,2675:0,4672:0,7613:8065,3226:9905,3269:25097,1048:0,2780:"
flag (2),Image0.jpg,"89999,0:0,1:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:79074,0:0,618:0,1516:0,1518:0,2764:0,4510:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,1032:5264,2281:15644,3303:39990,1291:16986,3884:0,325:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:"
flag (3),Image0.jpg,"51643,2611:6919,2295:5116,1147:4704,984:6677,273:5710,320:0,1601:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:50518,268:0,4444:0,3359:0,2833:0,2526:0,2096:0,1548:0,869:0,976:0,1577:3891,541:0,2651:0,1636:0,1317:8926,24:0,0:0,0:0,1094:0,4592:0,8443:4534,5607:9864,1963:6113,860:4496,968:4851,135:6814,155:5764,301:4891,683:6649,605:9773,845:"
flag (4),Image0.jpg,"6529,237:0,2863:0,274:0,189:0,240:0,2079:0,3502:0,6767:7511,3560:16818,2163:13018,5654:7157,4452:0,3894:0,1448:0,1645:0,1241:0,4314:0,2850:0,2203:0,2198:0,3252:0,6035:0,9697:13317,1064:5502,8795:0,10017:4834,4300:0,5029:0,2803:0,2549:4413,375:0,2107:0,4170:0,6196:0,6302:0,6429:0,8329:4233,3927:0,6482:0,6191:0,6686:0,4987:0,4203:9356,913:0,4701:"
flag (5),Image0.jpg,"61333,486:5481,1909:4692,908:4263,1107:6436,44:0,3236:0,105:0,0:0,0:0,0:0,0:0,0:0,0:0,0:0,0:61566,832:4404,1325:3459,701:0,3812:4726,73:3691,770:0,536:0,148:0,134:0,175:0,887:0,410:0,290:0,308:0,1753:0,0:0,0:0,801:0,4320:0,7879:3689,6323:12506,14:5998,868:4382,1143:7696,106:0,6008:4904,544:5221,486:9728,547:6626,211:"
flag (6),Image0.jpg,"42566,0:0,946:0,428:0,223:0,193:0,247:0,292:0,408:0,2625:0,3320:4474,5263:3719,7333:0,5435:0,4832:0,7696:39292,0:0,559:0,557:0,1000:0,2570:0,5413:0,8406:0,4756:0,4932:0,4349:0,3397:0,3133:0,4516:0,3576:0,3544:0,763:0,1685:0,6854:0,8892:0,5599:0,4379:0,4422:0,4285:0,3811:0,4324:0,6307:3724,4540:5357,4046:7709,9152:0,4151:"
flag (6),Image1.jpg,"42438,0:0,880:0,268:0,219:0,269:0,203:0,240:0,433:0,2644:0,3238:4470,5399:3741,7419:0,5699:0,4976:4132,3332:39031,0:0,500:0,540:0,1003:0,2601:0,5175:0,8501:0,4888:0,5220:0,4427:0,3526:0,3171:0,4400:0,3565:0,3452:0,774:0,1694:0,7392:5198,3484:0,5584:0,4486:0,4587:0,4353:0,3985:0,4531:0,6547:0,7839:5078,3949:7856,8858:0,3805:"
flag (7),Image0.jpg,"66405,1186:7969,385:3497,2102:4592,516:0,2392:0,479:0,259:0,145:0,33:0,20:0,12:0,8:0,0:0,0:0,0:59862,713:0,5807:3104,3616:0,4788:3625,1053:0,3255:0,2449:0,794:0,347:0,135:0,119:0,143:0,38:0,50:0,102:0,0:0,4:0,860:0,4377:0,6969:0,6790:0,7574:11426,1915:8535,3439:6067,2786:3522,2819:0,4643:0,3904:4624,1562:7595,589:"
flag (8),Image0.jpg,"29565,0:0,697:0,167:0,180:0,195:0,406:0,389:0,510:0,608:0,1407:0,1863:0,4511:12644,5808:23599,737:3822,2892:27266,0:0,355:0,273:0,607:3551,360:5991,645:7057,1849:0,4185:0,1910:0,3797:0,7049:4203,4779:0,7033:0,5552:0,3538:0,18:12928,53:0,5690:0,2298:0,2557:3216,2018:0,4777:0,4867:0,4366:0,4206:0,4670:0,4256:4841,2811:22909,1171:0,2348:"
